alpha; cl
-9.71320754716982; 0.15092759699814584
-8.218867924528311; 0.1678169720171354
-6.807547169811327; 0.20563242487770683
-5.313207547169819; 0.285323732263846
-4.400000000000009; 0.3523993558776157
-3.818867924528311; 0.4026961990702753
-2.9056603773584992; 0.46558502719290185
-2.0754716981132155; 0.5159055692279639
-1.0792452830188761; 0.5788022969647242
-0.16603773584906456; 0.6291307386139209
0.9132075471698009; 0.6878485704736723
1.9924528301886717; 0.746566402333424
2.9886792452830093; 0.7969027435967544
3.901886792452821; 0.8514179807370943
5.230188679245277; 0.9185331024215349
6.39245283018867; 0.9730720384042775
7.637735849056597; 1.0276188740011538
8.633962264150934; 1.082142010755628
9.713207547169805; 1.1282994561419497
10.875471698113202; 1.1912119831069785
12.45283018867924; 1.2625375991249654
13.532075471698107; 1.3212554309847169
14.611320754716978; 1.3590392853887516
15.773584905660375; 1.4010178348980642
17.184905660377346; 1.4430200832497793
18.762264150943388; 1.472477744356333
19.260377358490565; 0.7314623401087712
21.045283018867913; 0.7316321818126572
